2010 Federal Election House of Representatives Party Representation [Please Note: These results are not final. Event:15508 Phase:PostElection Generated:2010-08-26T20:54:07 Cycle:0849b48f-c4e0-465a-9b7a-4c505b1bd344 Created:2010-08-26T20:34:47 Environment:PROD Site:CDC Server:DB01 Version:6.0.9.8314]
PartyAb,Party,NSW,VIC,QLD,WA,SA,TAS,ACT,NT,Total,LastElectionTotal
ALP,Australian Labor Party,26,22,8,3,6,4,2,1,72,83
LP,Liberal,16,12,0,11,5,0,0,0,44,55
LNQ,Liberal National Party of Queensland,0,0,21,0,0,0,0,0,21,0
GRN,The Greens,0,1,0,0,0,0,0,0,1,0
NP,The Nationals,4,2,0,1,0,0,0,0,7,10
FFP,Family First,0,0,0,0,0,0,0,0,0,0
CDP,CDP Christian Party,0,0,0,0,0,0,0,0,0,0
DEM,Democrats,0,0,0,0,0,0,0,0,0,0
CLP,Country Liberals,0,0,0,0,0,0,0,1,1,0
ON,One Nation,0,0,0,0,0,0,0,0,0,0
CEC,Citizens Electoral Council,0,0,0,0,0,0,0,0,0,0
LDP,Liberty and Democracy Party,0,0,0,0,0,0,0,0,0,0
SAL,Socialist Alliance,0,0,0,0,0,0,0,0,0,0
DLP,DLP - Democratic Labor Party,0,0,0,0,0,0,0,0,0,0
SEP,Socialist Equality Party,0,0,0,0,0,0,0,0,0,0
AFN,Australia First Party (NSW) Incorporated,0,0,0,0,0,0,0,0,0,0
ASXP,Australian Sex Party,0,0,0,0,0,0,0,0,0,0
BAP,Building Australia Party,0,0,0,0,0,0,0,0,0,0
CA,Carers Alliance,0,0,0,0,0,0,0,0,0,0
CAL,Communist Alliance,0,0,0,0,0,0,0,0,0,0
NCP,Non-Custodial Parents Party,0,0,0,0,0,0,0,0,0,0
SPA,Secular Party of Australia,0,0,0,0,0,0,0,0,0,0
TCS,The Climate Sceptics,0,0,0,0,0,0,0,0,0,0
IND,Independent,2,0,1,0,0,1,0,0,4,2
NAFD,Non Affiliated,0,0,0,0,0,0,0,0,0,0
DOUBTFUL,DOUBTFUL,0,0,0,0,0,0,0,0,0,0
