2010 Federal Election House of Representatives Two Candidate Preferred By Candidate By Vote Type [Please Note: These results are not final. Event:15508 Phase:PostElection Generated:2010-08-26T06:13:40 Cycle:ca0cb745-2e77-47c4-9d81-0050ef9da39a Created:2010-08-26T06:06:03 Environment:PROD Site:CDC Server:DB01 Version:6.0.9.8314]
StateAb,DivisionID,DivisionNm,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,Swing
ACT,101,Canberra,20863,JONES,Giulia,1,N,N,LP,Liberal,39113,0,0,0,0,39113,2.36
ACT,101,Canberra,21228,BRODTMANN,Gai,3,N,N,ALP,Australian Labor Party,57358,0,0,0,0,57358,-2.36
ACT,102,Fraser,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,35674,0,0,0,0,35674,1.14
ACT,102,Fraser,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,63232,0,0,0,0,63232,-1.14
NSW,103,Banks,21087,MELHAM,Daryl,3,N,Y,ALP,Labor,36711,0,0,0,0,36711,-8.92
NSW,103,Banks,21561,DELEZIO,Ron,4,N,N,LP,Liberal,34644,0,0,0,0,34644,8.92
NSW,104,Barton,21158,McCLELLAND,Robert,1,N,Y,ALP,Labor,37939,0,0,0,0,37939,-7.93
NSW,104,Barton,21616,La MELA,John,3,N,N,LP,Liberal,28604,0,0,0,0,28604,7.93
NSW,105,Bennelong,21132,McKEW,Maxine,8,N,Y,ALP,Labor,33611,0,0,0,0,33611,-4.88
NSW,105,Bennelong,21648,ALEXANDER,John,10,N,N,LP,Liberal,38639,0,0,0,0,38639,4.88
NSW,106,Berowra,21587,RUDDOCK,Philip,2,N,Y,LP,Liberal,48548,0,0,0,0,48548,6.62
NSW,106,Berowra,21923,STOVE,Michael,4,N,N,ALP,Labor,24318,0,0,0,0,24318,-6.62
NSW,107,Blaxland,21180,CLARE,Jason,5,N,Y,ALP,Labor,38843,0,0,0,0,38843,-3.91
NSW,107,Blaxland,21433,MAJEWSKI,Mark,6,N,N,LP,Liberal,23064,0,0,0,0,23064,3.91
NSW,108,Bradfield,21112,GALLARD,Sarah,2,N,N,ALP,Labor,22442,0,0,0,0,22442,-4.39
NSW,108,Bradfield,21644,FLETCHER,Paul,3,N,Y,LP,Liberal,48231,0,0,0,0,48231,4.39
NSW,109,Calare,21140,DUFFY,Kevin,3,N,N,ALP,Country Labor,31638,0,0,0,0,31638,-7.33
NSW,109,Calare,21115,COBB,John,6,N,Y,NP,The Nationals,49052,0,0,0,0,49052,7.33
NSW,110,Charlton,21259,COMBET,Greg,1,N,Y,ALP,Labor,44468,0,0,0,0,44468,0.29
NSW,110,Charlton,21621,McDONALD,John Andrew,3,N,N,LP,Liberal,25897,0,0,0,0,25897,-0.29
NSW,111,Chifley,21231,HUSIC,Ed,3,N,N,ALP,Labor,43751,0,0,0,0,43751,-7.27
NSW,111,Chifley,21658,PRIEST,Venus,7,N,N,LP,Liberal,26346,0,0,0,0,26346,7.27
NSW,112,Cook,21258,SCAYSBROOK,Peter,2,N,N,ALP,Labor,28829,0,0,0,0,28829,-6.98
NSW,112,Cook,21572,MORRISON,Scott,3,N,Y,LP,Liberal,49760,0,0,0,0,49760,6.98
NSW,113,Cowper,21230,SEKFY,Paul,1,N,N,ALP,Labor,30414,0,0,0,0,30414,-7.74
