2010 Federal Election House of Representatives Two Candidate Preferred By Candidate By Vote Type [Please Note: These results are not final. Event:15508 Phase:PostElection Generated:2010-08-29T14:08:32 Cycle:062db480-ed9d-4516-93ba-53c770965260 Created:2010-08-29T13:49:08 Environment:PROD Site:CDC Server:DB01 Version:6.0.9.8314]
StateAb,DivisionID,DivisionNm,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,Swing
ACT,101,Canberra,20863,JONES,Giulia,1,N,N,LP,Liberal,39113,0,0,0,0,39113,2.36
ACT,101,Canberra,21228,BRODTMANN,Gai,3,N,N,ALP,Australian Labor Party,57358,0,0,0,0,57358,-2.36
ACT,102,Fraser,20858,MILLIGAN,James Keith,1,N,N,LP,Liberal,35674,538,0,662,0,36874,1.09
ACT,102,Fraser,21210,LEIGH,Andrew,3,N,N,ALP,Australian Labor Party,63232,1005,0,1251,0,65488,-1.09
NSW,103,Banks,21087,MELHAM,Daryl,3,N,Y,ALP,Labor,36629,0,0,277,1486,38392,-9.17
NSW,103,Banks,21561,DELEZIO,Ron,4,N,N,LP,Liberal,34700,0,0,251,1641,36592,9.17
NSW,104,Barton,21158,McCLELLAND,Robert,1,N,Y,ALP,Labor,37939,0,0,0,0,37939,-7.93
NSW,104,Barton,21616,La MELA,John,3,N,N,LP,Liberal,28604,0,0,0,0,28604,7.93
NSW,105,Bennelong,21132,McKEW,Maxine,8,N,Y,ALP,Labor,33750,0,0,0,1129,34879,-5.28
NSW,105,Bennelong,21648,ALEXANDER,John,10,N,N,LP,Liberal,38964,0,0,0,1791,40755,5.28
NSW,106,Berowra,21587,RUDDOCK,Philip,2,N,Y,LP,Liberal,48675,0,0,0,0,48675,6.64
NSW,106,Berowra,21923,STOVE,Michael,4,N,N,ALP,Labor,24358,0,0,0,0,24358,-6.64
NSW,107,Blaxland,21180,CLARE,Jason,5,N,Y,ALP,Labor,38796,0,0,0,0,38796,-3.96
NSW,107,Blaxland,21433,MAJEWSKI,Mark,6,N,N,LP,Liberal,23090,0,0,0,0,23090,3.96
NSW,108,Bradfield,21112,GALLARD,Sarah,2,N,N,ALP,Labor,22610,0,0,880,0,23490,-4.37
NSW,108,Bradfield,21644,FLETCHER,Paul,3,N,Y,LP,Liberal,49106,0,0,1352,0,50458,4.37
NSW,109,Calare,21140,DUFFY,Kevin,3,N,N,ALP,Country Labor,31565,0,0,0,0,31565,-7.4
NSW,109,Calare,21115,COBB,John,6,N,Y,NP,The Nationals,49072,0,0,0,0,49072,7.4
NSW,110,Charlton,21259,COMBET,Greg,1,N,Y,ALP,Labor,44699,0,0,0,0,44699,0.27
NSW,110,Charlton,21621,McDONALD,John Andrew,3,N,N,LP,Liberal,26051,0,0,0,0,26051,-0.27
NSW,111,Chifley,21231,HUSIC,Ed,3,N,N,ALP,Labor,43768,0,0,0,0,43768,-7.2
NSW,111,Chifley,21658,PRIEST,Venus,7,N,N,LP,Liberal,26278,0,0,0,0,26278,7.2
NSW,112,Cook,21258,SCAYSBROOK,Peter,2,N,N,ALP,Labor,28829,0,0,0,0,28829,-6.98
NSW,112,Cook,21572,MORRISON,Scott,3,N,Y,LP,Liberal,49760,0,0,0,0,49760,6.98
NSW,113,Cowper,21230,SEKFY,Paul,1,N,N,ALP,Labor,30571,0,0,0,915,31486,-8.16
