2010 Federal Election Senate First Preferences By State By Vote Type  [Please Note: These results are not final. Event:15508 Phase:PostElection Generated:2010-09-03T09:34:27 Cycle:167e51b0-7a77-4f33-b91d-6ccac30ee2ab Created:2010-09-03T09:18:33 Environment:PROD Site:CDC Server:DB01 Version:6.0.9.8314]
StateAb,Ticket,CandidateID,BallotPosition,CandidateDetails,PartyName,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes
ACT,A,22049,0,A Ticket Votes,Australian Labor Party,67822,540,0,2982,299,71643
ACT,A,21065,1,"LUNDY, Kate Alexandra",Australian Labor Party,4954,0,0,0,0,4954
ACT,A,21072,2,"MATHEWS, David",Australian Labor Party,408,0,0,0,0,408
ACT,A,0,9998,Unapportioned,Australian Labor Party,7876,0,0,0,0,7876
ACT,B,22050,0,B Ticket Votes,Australian Democrats,2175,20,0,139,8,2342
ACT,B,21758,1,"CHURCHILL, Darren Mark",Australian Democrats,345,0,0,0,0,345
ACT,B,21760,2,"DAVID, Anthony John",Australian Democrats,81,0,0,0,0,81
ACT,B,0,9998,Unapportioned,Australian Democrats,675,0,0,0,0,675
ACT,C,22048,0,C Ticket Votes,The Greens,27914,286,0,1419,94,29713
ACT,C,20838,1,"HATFIELD DODDS, Lin",The Greens,6210,0,0,0,0,6210
ACT,C,20840,2,"PARRIS, Hannah",The Greens,580,0,0,0,0,580
ACT,C,0,9998,Unapportioned,The Greens,9212,0,0,0,0,9212
ACT,D,22047,0,D Ticket Votes,Liberal,56582,397,0,2621,344,59944
ACT,D,20813,1,"HUMPHRIES, Gary",Liberal,3423,0,0,0,0,3423
ACT,D,20814,2,"WATTS, Matthew",Liberal,205,0,0,0,0,205
ACT,D,0,9998,Unapportioned,Liberal,5462,0,0,0,0,5462
ACT,UG,21966,1,"GLYNN, John",Independent,1966,0,0,0,0,1966
NSW,A,22214,0,A Ticket Votes,Socialist Alliance,18136,415,15,147,206,18919
NSW,A,21446,1,"EVANS, Rachel",Socialist Alliance,289,1,0,0,0,290
NSW,A,21449,2,"ISKANDER, Soubhi",Socialist Alliance,11,0,0,0,0,11
NSW,A,0,9998,Unapportioned,Socialist Alliance,1890,0,0,0,0,1890
NSW,B,22230,0,B Ticket Votes,,1067,31,1,12,22,1133
NSW,B,22023,1,"HODGES, Robert",,37,0,0,0,0,37
NSW,B,22024,2,"FRIER, Bob",,8,0,0,0,0,8
NSW,B,0,9998,Unapportioned,,329,0,0,0,0,329
NSW,C,22224,0,C Ticket Votes,,634,28,0,17,16,695
NSW,C,21904,1,"ROBINSON, Tony",,18,0,0,0,0,18
NSW,C,21907,2,"SELBY, Noel",,2,0,0,0,0,2
