2010 Federal Election House of Representatives Turnout By Division [Please Note: These results are not final. Event:15508 Phase:PostElection Generated:2010-09-02T16:18:53 Cycle:80d1e32b-dba1-4d86-a28b-68c5d19d2b6e Created:2010-09-02T16:04:58 Environment:PROD Site:CDC Server:DB01 Version:6.0.9.8314]
DivisionID,DivisionNm,StateAb,Enrolment,Turnout,TurnoutPercentage,TurnoutSwing
179,Adelaide,SA,98526,82419,83.65,-10.94
197,Aston,VIC,93448,88164,94.35,-2.04
198,Ballarat,VIC,97802,91055,93.1,-2.99
103,Banks,NSW,98762,90705,91.84,-2.64
180,Barker,SA,104888,92751,88.43,-7.54
104,Barton,NSW,95243,82400,86.52,-8.53
192,Bass,TAS,71689,68315,95.29,-1.01
199,Batman,VIC,89160,76886,86.23,-7.97
200,Bendigo,VIC,100701,94449,93.79,-2.24
105,Bennelong,NSW,98900,89268,90.26,-4.74
106,Berowra,NSW,95115,88245,92.78,-2.57
304,Blair,QLD,83071,77244,92.99,-2
107,Blaxland,NSW,95354,78823,82.66,-10.09
310,Bonner,QLD,92684,84828,91.52,-3.81
182,Boothby,SA,97898,89003,90.91,-4.77
155,Bowman,QLD,91892,85125,92.64,-2.6
193,Braddon,TAS,71574,68368,95.52,-0.76
108,Bradfield,NSW,97251,85629,88.05,-6
235,Brand,WA,88203,82005,92.97,-0.3
156,Brisbane,QLD,92222,80263,87.03,-8.18
201,Bruce,VIC,88171,77409,87.79,-6.79
109,Calare,NSW,98504,90623,92,-4.42
203,Calwell,VIC,101314,88213,87.07,-7.77
101,Canberra,ACT,124215,110381,88.86,-7.15
236,Canning,WA,90107,82941,92.05,-1.07
157,Capricornia,QLD,91962,82028,89.2,-6.2
204,Casey,VIC,92357,86714,93.89,-2.33
110,Charlton,NSW,94480,83613,88.5,-7.5
111,Chifley,NSW,97605,89922,92.13,-1.54
205,Chisholm,VIC,86275,77501,89.83,-5.44
112,Cook,NSW,100748,90017,89.35,-7.08
207,Corangamite,VIC,101569,95916,94.43,-2.04
208,Corio,VIC,91974,84414,91.78,-3.64
237,Cowan,WA,89546,83317,93.04,-1.55
113,Cowper,NSW,94645,87855,92.83,-2.25
114,Cunningham,NSW,100698,92785,92.14,-3.99
238,Curtin,WA,90400,79366,87.79,-6.09
158,Dawson,QLD,94553,87096,92.11,-3.3
209,Deakin,VIC,87744,81757,93.18,-2.71
194,Denison,TAS,71349,66929,93.81,-1.72
252,Dickson,QLD,90111,84409,93.67,-1.7
115,Dobell,NSW,93661,87415,93.33,-1.51
210,Dunkley,VIC,95324,87631,91.93,-3.3
312,Durack,WA,85782,74533,86.89,-0.27
117,Eden-Monaro,NSW,96465,90789,94.12,-1.78
159,Fadden,QLD,85236,77484,90.91,-1.33
160,Fairfax,QLD,89743,82371,91.79,-1.33
118,Farrer,NSW,94061,87891,93.44,-2.8
161,Fisher,QLD,83754,76264,91.06,-2.05
211,Flinders,VIC,100875,89817,89.04,-6.4
311,Flynn,QLD,91377,81853,89.58,-5.53
162,Forde,QLD,82558,74797,90.6,-2.09
239,Forrest,WA,89636,84138,93.87,-0.63
119,Fowler,NSW,95561,83014,86.87,-6.47
195,Franklin,TAS,71090,67519,94.98,-0.88
102,Fraser,ACT,123444,110885,89.83,-5.84
240,Fremantle,WA,93341,86164,92.31,-1.47
212,Gellibrand,VIC,95611,78794,82.41,-11.75
120,Gilmore,NSW,96317,86479,89.79,-6.02
213,Gippsland,VIC,97543,85278,87.43,-8.24
214,Goldstein,VIC,93945,82639,87.97,-6.99
309,Gorton,VIC,113656,98223,86.42,-8.5
121,Grayndler,NSW,98112,78253,79.76,-14.55
122,Greenway,NSW,93828,86992,92.71,-1.39
183,Grey,SA,99817,93284,93.46,-1.49
163,Griffith,QLD,92588,81922,88.48,-5.14
164,Groom,QLD,93374,86556,92.7,-2.76
305,Hasluck,WA,93892,87056,92.72,-0.95
165,Herbert,QLD,91044,83959,92.22,-1.44
215,Higgins,VIC,90398,74378,82.28,-11.49
185,Hindmarsh,SA,100245,90722,90.5,-4.87
166,Hinkler,QLD,91397,84921,92.91,-1.56
216,Holt,VIC,108893,98348,90.32,-5.11
217,Hotham,VIC,89581,75317,84.08,-10.71
124,Hughes,NSW,97995,91494,93.37,-2.68
125,Hume,NSW,97698,85141,87.15,-8.65
126,Hunter,NSW,91516,84441,92.27,-3.69
218,Indi,VIC,92956,82762,89.03,-6.77
219,Isaacs,VIC,102790,87010,84.65,-10.53
220,Jagajaga,VIC,95202,87633,92.05,-3.67
167,Kennedy,QLD,94465,82536,87.37,-6.53
127,Kingsford Smith,NSW,97747,84273,86.22,-8.05
186,Kingston,SA,102296,96369,94.21,-1.76
221,Kooyong,VIC,89659,80918,90.25,-4.55
223,La Trobe,VIC,97960,91575,93.48,-2.36
222,Lalor,VIC,117023,105973,90.56,-4.86
168,Leichhardt,QLD,93140,84035,90.22,-2.24
169,Lilley,QLD,97415,90220,92.61,-3.24
128,Lindsay,NSW,95975,89632,93.39,-2.49
306,Lingiari,NT,61126,45763,74.87,-6.39
302,Longman,QLD,87062,79992,91.88,-1.4
130,Lyne,NSW,92565,86588,93.54,-2.05
196,Lyons,TAS,72865,68921,94.59,-0.25
131,Macarthur,NSW,90059,82544,91.66,-3.3
132,Mackellar,NSW,98556,88669,89.97,-5.31
133,Macquarie,NSW,97560,90286,92.54,-3.37
187,Makin,SA,96263,90751,94.27,-1.4
224,Mallee,VIC,89840,82342,91.65,-4.24
170,Maranoa,QLD,97957,90812,92.71,-2.21
225,Maribyrnong,VIC,88412,79667,90.11,-4.04
188,Mayo,SA,101565,92353,90.93,-4.95
226,McEwen,VIC,115783,100161,86.51,-9.73
315,McMahon,NSW,96058,84818,88.3,-5.23
227,McMillan,VIC,93323,86791,93,-2.88
171,McPherson,QLD,90090,81999,91.02,-3.71
228,Melbourne,VIC,102879,83514,81.18,-10.32
230,Melbourne Ports,VIC,97765,75828,77.56,-14.16
229,Menzies,VIC,90966,80474,88.47,-7.68
134,Mitchell,NSW,93588,86338,92.25,-2.72
172,Moncrieff,QLD,89087,79584,89.33,-5.24
242,Moore,WA,92295,85027,92.13,-1.63
173,Moreton,QLD,92733,82444,88.9,-6.12
231,Murray,VIC,90218,79368,87.97,-7.75
135,New England,NSW,99677,92341,92.64,-3.46
136,Newcastle,NSW,92896,83205,89.57,-5.68
137,North Sydney,NSW,97567,86620,88.78,-5.43
243,O'Connor,WA,92875,85271,91.81,-1.24
174,Oxley,QLD,82782,75321,90.99,-2.42
138,Page,NSW,94360,86831,92.02,-4.07
139,Parkes,NSW,100169,88932,88.78,-7.74
140,Parramatta,NSW,94014,83471,88.79,-3.8
249,Paterson,NSW,92149,84566,91.77,-3.96
244,Pearce,WA,89526,76411,85.35,-7.83
245,Perth,WA,91904,81051,88.19,-5
175,Petrie,QLD,86683,78057,90.05,-4.05
189,Port Adelaide,SA,104308,97311,93.29,-1.58
176,Rankin,QLD,94602,85527,90.41,-3.3
144,Reid,NSW,95873,86288,90,-3.14
145,Richmond,NSW,92384,82424,89.22,-5.27
250,Riverina,NSW,98594,89413,90.69,-5.06
146,Robertson,NSW,96593,90528,93.72,-2.39
177,Ryan,QLD,98224,89425,91.04,-4.71
232,Scullin,VIC,90822,77193,84.99,-10.71
148,Shortland,NSW,94245,85182,90.38,-5.9
307,Solomon,NT,59879,52859,88.28,-3.78
246,Stirling,WA,91728,82620,90.07,-3.53
190,Sturt,SA,99061,86271,87.09,-8.49
247,Swan,WA,90766,81973,90.31,-2.69
149,Sydney,NSW,95277,69419,72.86,-18.95
248,Tangney,WA,92176,86098,93.41,-1.67
150,Throsby,NSW,95874,86221,89.93,-5.93
191,Wakefield,SA,100209,93572,93.38,-1.75
233,Wannon,VIC,92264,87696,95.05,-1.35
151,Warringah,NSW,96706,84180,87.05,-7.78
251,Watson,NSW,97765,82943,84.84,-7.4
152,Wentworth,NSW,101464,78737,77.6,-14.93
153,Werriwa,NSW,90994,81263,89.31,-4.59
178,Wide Bay,QLD,92636,79911,86.26,-8.27
234,Wills,VIC,98599,82503,83.68,-9.99
316,Wright,QLD,85304,79152,92.79,-0.79
