2010 Federal Election Senate Turnout By Division [Please Note: These results are not final. Event:15508 Phase:PostElection Generated:2010-09-07T06:47:19 Cycle:24687535-db09-402a-94e1-e34b5fa9056c Created:2010-09-07T06:33:39 Environment:PROD Site:FDC Server:DB01 Version:6.0.9.8314]
DivisionID,DivisionNm,StateAb,Enrolment,Turnout,TurnoutPercentage
179,Adelaide,SA,98526,81557,82.78
197,Aston,VIC,93448,84837,90.79
198,Ballarat,VIC,97802,89525,91.54
103,Banks,NSW,98762,92127,93.28
180,Barker,SA,104888,86192,82.18
104,Barton,NSW,95243,83034,87.18
192,Bass,TAS,71689,68320,95.3
199,Batman,VIC,89160,78605,88.16
200,Bendigo,VIC,100701,84797,84.21
105,Bennelong,NSW,98900,91121,92.13
106,Berowra,NSW,95115,88868,93.43
304,Blair,QLD,83071,78743,94.79
107,Blaxland,NSW,95354,79044,82.9
310,Bonner,QLD,92684,78636,84.84
182,Boothby,SA,97898,72710,74.27
155,Bowman,QLD,91892,86839,94.5
193,Braddon,TAS,71574,68509,95.72
108,Bradfield,NSW,97251,89229,91.75
235,Brand,WA,88203,82868,93.95
156,Brisbane,QLD,92222,66013,71.58
201,Bruce,VIC,88171,64623,73.29
109,Calare,NSW,98504,94103,95.53
203,Calwell,VIC,101314,80569,79.52
101,Canberra,ACT,124215,112481,90.55
236,Canning,WA,90107,83749,92.94
157,Capricornia,QLD,91962,83663,90.98
204,Casey,VIC,92357,87785,95.05
110,Charlton,NSW,94480,88893,94.09
111,Chifley,NSW,97605,91003,93.24
205,Chisholm,VIC,86275,79835,92.54
112,Cook,NSW,100748,81278,80.67
207,Corangamite,VIC,101569,91078,89.67
208,Corio,VIC,91974,86667,94.23
237,Cowan,WA,89546,81352,90.85
113,Cowper,NSW,94645,87971,92.95
114,Cunningham,NSW,100698,94261,93.61
238,Curtin,WA,90400,83055,91.88
158,Dawson,QLD,94553,76112,80.5
209,Deakin,VIC,87744,82350,93.85
194,Denison,TAS,71349,66227,92.82
252,Dickson,QLD,90111,76815,85.24
115,Dobell,NSW,93661,88107,94.07
210,Dunkley,VIC,95324,89380,93.76
312,Durack,WA,85782,72913,85
117,Eden-Monaro,NSW,96465,89338,92.61
159,Fadden,QLD,85236,78240,91.79
160,Fairfax,QLD,89743,82423,91.84
118,Farrer,NSW,94061,88478,94.06
161,Fisher,QLD,83754,78025,93.16
211,Flinders,VIC,100875,92977,92.17
311,Flynn,QLD,91377,70982,77.68
162,Forde,QLD,82558,76415,92.56
239,Forrest,WA,89636,84697,94.49
119,Fowler,NSW,95561,84501,88.43
195,Franklin,TAS,71090,68056,95.73
102,Fraser,ACT,123444,112392,91.05
240,Fremantle,WA,93341,87531,93.78
212,Gellibrand,VIC,95611,80737,84.44
120,Gilmore,NSW,96317,90958,94.44
213,Gippsland,VIC,97543,90079,92.35
214,Goldstein,VIC,93945,87503,93.14
309,Gorton,VIC,113656,101468,89.28
121,Grayndler,NSW,98112,75150,76.6
122,Greenway,NSW,93828,84196,89.73
183,Grey,SA,99817,79097,79.24
163,Griffith,QLD,92588,76147,82.24
164,Groom,QLD,93374,87700,93.92
305,Hasluck,WA,93892,88224,93.96
165,Herbert,QLD,91044,69164,75.97
215,Higgins,VIC,90398,71364,78.94
185,Hindmarsh,SA,100245,93320,93.09
166,Hinkler,QLD,91397,86078,94.18
216,Holt,VIC,108893,101551,93.26
217,Hotham,VIC,89581,75145,83.88
124,Hughes,NSW,97995,91780,93.66
125,Hume,NSW,97698,91821,93.98
126,Hunter,NSW,91516,86049,94.03
218,Indi,VIC,92956,86822,93.4
